DISEASE/TRAIT	MAPPED_TRAIT	STUDY ACCESSION	Other	Background
Medication adherence in chronic diseases	diabetes mellitus|| hypertension|| medication adherence behavior	GCST002637	medication adherence behavior	diabetes mellitus|| hypertension
Memory dysfunction in frontotemporal lobe dementia	memory impairment|| Frontotemporal dementia	GCST006151	memory impairment	Frontotemporal dementia
Metastasis at diagnosis in osteosarcoma	metastasis measurement|| date of diagnosis|| osteosarcoma	GCST002978	metastasis measurement|| date of diagnosis	osteosarcoma
Methadone dose in opioid dependence	opioid dependence|| methadone dose measurement	GCST006856	methadone dose measurement	opioid dependence
Methadone dose in opioid dependence	opioid dependence|| methadone dose measurement	GCST004136	methadone dose measurement	opioid dependence
Migraine in bipolar disorder	bipolar disorder|| migraine disorder	GCST002656	migraine disorder	bipolar disorder
Migraine in psychiatric disorder	bipolar disorder|| migraine disorder	GCST000695	migraine disorder	bipolar disorder
Mood disorder in prion disease	prion disease|| mood disorder	GCST002864	mood disorder	prion disease 
Mortality in heart failure	heart failure|| mortality	GCST003539	mortality	heart failure
Mortality in heart failure	heart failure|| mortality	GCST000661	mortality	heart failure
Mortality in sepsis	sepsis|| mortality	GCST003817	mortality	sepsis
Platinum-induced myelosuppression in non-small cell lung cancer	myelosuppression|| response to platinum based chemotherapy|| non-small cell lung carcinoma	GCST002833	myelosuppression|| response to platinum based chemotherapy	non-small cell lung carcinoma
Myocardial infarction in placebo-treated cardiovascular disease (time to event)	acute coronary syndrome|| coronary heart disease|| myocardial infarction|| response to placebo	GCST004965	myocardial infarction|| response to placebo	acute coronary syndrome|| coronary heart disease
Perioperative myocardial infarction in coronary artery bypass surgery	coronary artery bypass|| myocardial infarction	GCST002892	myocardial infarction	coronary artery bypass
Myocardial infarction in coronary artery disease	coronary heart disease|| myocardial infarction	GCST000946	myocardial infarction	coronary heart disease
Myocardial infarction in cardiovascular disease (time to event) (darapladib treatment interaction)	response to darapladib|| acute coronary syndrome|| coronary heart disease|| myocardial infarction	GCST004959	myocardial infarction|| response to darapladib	acute coronary syndrome|| coronary heart disease
Myocardial infarction in darapladib-treated cardiovascular disease (time to event)	response to darapladib|| acute coronary syndrome|| coronary heart disease|| myocardial infarction	GCST004964	myocardial infarction|| response to darapladib	acute coronary syndrome|| coronary heart disease
Surgical necrotising enterocolitis in extremely premature birth	necrotizing enterocolitis|| premature birth	GCST005800	necrotizing enterocolitis	premature birth
Neuropathic pain in head and neck cancer	head and neck malignant neoplasia|| neuropathic pain	GCST005934	neuropathic pain	head and neck malignant neoplasia
Possible neuropathic pain in post total joint replacement surgery for osteoarthritis	neuropathic pain|| osteoarthritis	GCST003963	neuropathic pain	osteoarthritis
Neuropathic pain in type 2 diabetes	neuropathic pain|| type II diabetes mellitus	GCST003063	neuropathic pain	type II diabetes mellitus
Neuropathic pain in type 2 diabetes	neuropathic pain|| type II diabetes mellitus	GCST002507	neuropathic pain	type II diabetes mellitus
Neutrophil count in HIV-infection	neutrophil count|| HIV-1 infection	GCST002743	neutrophil count	HIV-1 infection
nicotine metabolite ratio in current smokers	smoking behavior|| nicotine metabolite ratio	GCST003629	nicotine metabolite ratio	smoking behavior
nicotine metabolite ratio in current smokers	smoking behavior|| nicotine metabolite ratio	GCST004976	nicotine metabolite ratio	smoking behavior
Non-small cell lung cancer in heavy smokers	smoking behavior|| non-small cell lung carcinoma	GCST005747	non-small cell lung carcinoma	smoking behavior
Obesity in adult survivors of childhood cancer not exposed to cranial radiation	childhood cancer|| obesity	GCST002904	obesity	childhood cancer
Oligoclonal band status in multiple sclerosis	multiple sclerosis|| oligoclonal band measurement	GCST002758	oligoclonal band measurement	multiple sclerosis
Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder	attention deficit hyperactivity disorder|| oppositional defiant disorder measurement	GCST003472	oppositional defiant disorder measurement	attention deficit hyperactivity disorder
Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder	attention deficit hyperactivity disorder|| oppositional defiant disorder measurement	GCST003030	oppositional defiant disorder measurement	attention deficit hyperactivity disorder
Ovarian cancer in BRCA1 mutation carriers	carrier status|| ovarian carcinoma	GCST004414	ovarian carcinoma	carrier status
Ovarian cancer in BRCA2 mutation carriers	carrier status|| ovarian carcinoma	GCST004416	ovarian carcinoma	carrier status
Pre-treatment pain in head and neck squamous cell carcinoma	pain|| head and neck squamous cell carcinoma	GCST003760	pain	head and neck squamous cell carcinoma
Pallidum volume in trauma-exposed individuals	pallidum volume|| response to trauma exposure	GCST005242	pallidum volume|| response to trauma exposure	
Thiopurine-induced pancreatitis in inflammatory bowel disease	pancreatitis|| response to thiopurine|| inflammatory bowel disease	GCST006208	pancreatitis|| response to thiopurine	inflammatory bowel disease
Parasitemia in Tripanosoma cruzi seropositivity	parasitemia measurement|| Trypanosoma cruzi seropositivity	GCST002282	parasitemia measurement	Trypanosoma cruzi seropositivity
Abnormal white matter microstructure in first episode schizophrenia (multivariate analysis)	parietal cortex measurement|| schizophrenia|| white matter microstructure measurement|| cingulate cortex measurement	GCST004997	parietal cortex measurement|| white matter microstructure measurement|| cingulate cortex measurement	schizophrenia
Parkinsonism in frontotemporal lobe dementia	Parkinson's disease|| Frontotemporal dementia	GCST006153	Parkinson's disease	Frontotemporal dementia
Response to anthracycline-based chemotherapy in breast cancer (pathologic complete response)	pathologic complete response measurement|| breast carcinoma|| response to anthracycline-based chemotherapy	GCST003224	pathologic complete response measurement|| response to anthracycline-based chemotherapy	breast carcinoma
Bortezomib-induced peripheral neuropathy in multiple myeloma	peripheral neuropathy|| multiple myeloma|| response to bortezomib	GCST003964	peripheral neuropathy|| response to bortezomib	multiple myeloma
Bortezomib-induced peripheral neuropathy in multiple myeloma	peripheral neuropathy|| multiple myeloma|| response to bortezomib	GCST003438	peripheral neuropathy|| response to bortezomib	multiple myeloma
Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer	peripheral neuropathy|| response to docetaxel|| metastatic prostate cancer	GCST003672	peripheral neuropathy|| response to docetaxel	metastatic prostate cancer
Neuropathy in taxane-treated breast cancer	peripheral neuropathy|| response to docetaxel|| breast carcinoma|| response to paclitaxel	GCST003627	peripheral neuropathy|| response to docetaxel|| response to paclitaxel	breast carcinoma
Taxane-induced peripheral neuropathy in breast cancer	peripheral neuropathy|| breast carcinoma|| response to taxane	GCST005804	peripheral neuropathy|| response to taxane	breast carcinoma
Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	peripheral neuropathy|| acute lymphoblastic leukemia|| response to vincristine	GCST002792	peripheral neuropathy|| response to vincristine	acute lymphoblastic leukemia
Personality traits in bipolar disorder	personality trait|| bipolar disorder	GCST000995	personality trait	bipolar disorder
Betaine levels in individuals undergoing cardiac evaluation	plasma betaine measurement|| angiographic measurement	GCST003358	plasma betaine measurement	angiographic measurement
Response to clopidogrel therapy in coronary heart disease	platelet reactivity measurement|| response to clopidogrel|| coronary heart disease	GCST003899	platelet reactivity measurement|| response to clopidogrel	coronary heart disease
Pneumoconiosis in silica exposure	pneumoconiosis|| response to silica exposure	GCST002515	pneumoconiosis|| response to silica exposure	
Post traumatic stress disorder symptom count in trauma-exposed individuals	response to trauma exposure|| post-traumatic stress disorder symptom measurement	GCST005550	post-traumatic stress disorder symptom measurement|| response to trauma exposure	
PR interval in Tripanosoma cruzi seropositivity	PR interval|| Trypanosoma cruzi seropositivity	GCST002279	PR interval	Trypanosoma cruzi seropositivity
Proliferative diabetic retinopathy in type 2 diabetes	proliferative diabetic retinopathy|| type II diabetes mellitus	GCST006283	proliferative diabetic retinopathy	type II diabetes mellitus
Proteinuria in chronic kidney disease	chronic kidney disease|| Proteinuria	GCST003142	Proteinuria	chronic kidney disease
Prothrombin fragments F1+2 levels in ischemic stroke	Ischemic stroke|| prothrombin fragments F1+2 measurement	GCST003235	prothrombin fragments F1+2 measurement	Ischemic stroke
Psychosis in Alzheimer's disease	Alzheimer's disease|| psychotic symptoms	GCST001282	psychotic symptoms	Alzheimer's disease
Psychotic symptoms in prion disease	prion disease|| psychotic symptoms	GCST002867	psychotic symptoms	prion disease
Pulmonary artery enlargement in chronic obstructive pulmonary disease	pulmonary artery enlargement|| chronic obstructive pulmonary disease	GCST002797	pulmonary artery enlargement	chronic obstructive pulmonary disease
Post-bronchodilator lung function in asthma (FEV1)	pulmonary function measurement|| forced expiratory volume|| response to bronchodilator|| asthma	GCST003110	pulmonary function measurement|| forced expiratory volume|| response to bronchodilator	asthma
Post-bronchodilator lung function in asthma (FEV1/FVC)	pulmonary function measurement|| response to bronchodilator|| asthma|| FEV/FEC ratio	GCST003107	pulmonary function measurement|| response to bronchodilator|| FEV/FEC ratio	asthma
Pulse pressure in young-onset hypertension	pulse pressure measurement|| early onset hypertension	GCST002470	pulse pressure measurement	early onset hypertension
Pursuit maintenance gain in psychotic disorders	schizophrenia|| pursuit maintenance gain measurement|| bipolar disorder|| schizoaffective disorder	GCST005028	pursuit maintenance gain measurement	schizophrenia|| bipolar disorder|| schizoaffective disorder
Putamen volume in trauma-exposed individuals	response to trauma exposure|| putamen volume	GCST005244	putamen volume|| response to trauma exposure	
Pyoderma gangrenosum in inflammatory bowel disease	pyoderma gangrenosum|| inflammatory bowel disease	GCST002379	pyoderma gangrenosum	inflammatory bowel disease
QRS duration in Tripanosoma cruzi seropositivity	QRS duration|| Trypanosoma cruzi seropositivity	GCST002284	QRS duration||	Trypanosoma cruzi seropositivity
QT interval in Tripanosoma cruzi seropositivity	QT interval|| Trypanosoma cruzi seropositivity	GCST002278	QT interval	Trypanosoma cruzi seropositivity
Red blood cell density in sickle cell anemia	Sickle cell anemia|| red blood cell density measurement	GCST004379	red blood cell density measurement	Sickle cell anemia
Renal elimination rate in vancomycin therapy	renal elimination rate measurement|| response to vancomycin	GCST002947	renal elimination rate measurement|| response to vancomycin	
Serum uric acid levels in response to allopurinol in gout	response to allopurinol|| gout|| uric acid measurement	GCST004751	response to allopurinol|| uric acid measurement	gout
Myocardial infarction in hypertension (ACE inhibitor interaction)	hypertension|| response to angiotensin-converting enzyme inhibitor|| myocardial infarction	GCST003187	response to angiotensin-converting enzyme inhibitor|| myocardial infarction	hypertension
Cardiomyopathy in childhood cancer survivors (anthracycline treatment interaction)	childhood cancer|| response to anthracycline-based chemotherapy|| cardiomyopathy	GCST003300	response to anthracycline-based chemotherapy|| cardiomyopathy	childhood cancer
Adverse response to antithyroid drugs in Graves disease	Graves disease|| response to anti-thyroid drug	GCST006278	response to anti-thyroid drug	Graves disease
Remission after antidepressant treatment in major depression	unipolar depression|| response to antidepressant	GCST006818	response to antidepressant	unipolar depression
Response to antidepressants in depression	unipolar depression|| response to antidepressant	GCST006817	response to antidepressant	unipolar depression
Response to antipsychotic treatment in schizophrenia	schizophrenia|| response to antipsychotic drug	GCST006292	response to antipsychotic drug	schizophrenia
Response to lurasidone in schizophrenia	schizophrenia|| response to antipsychotic drug	GCST006248	response to antipsychotic drug	schizophrenia
Cardiovascular disease in hypertension (beta blocker interaction)	hypertension|| response to beta blocker|| cardiovascular disease	GCST003203	response to beta blocker|| cardiovascular disease	hypertension
Myocardial infarction in hypertension (beta blocker interaction)	hypertension|| response to beta blocker|| myocardial infarction	GCST003201	response to beta blocker|| myocardial infarction	hypertension
Response to chemotherapy in breast cancer (hypertension) (bevacizumab)	response to bevacizumab|| breast carcinoma|| chemotherapy-induced hypertension	GCST002567	response to bevacizumab|| chemotherapy-induced hypertension	breast carcinoma
Adverse response to chemotherapy (congestive heart failure) in breast cancer	response to bevacizumab|| congestive heart failure|| breast carcinoma|| response to anthracycline-based chemotherapy	GCST003939	response to bevacizumab|| congestive heart failure|| response to anthracycline-based chemotherapy	breast carcinoma
Asthma (bronchodilator response)	response to bronchodilator|| asthma	GCST002154	response to bronchodilator	asthma
Asthma (bronchodilator response)	response to bronchodilator|| asthma	GCST001911	response to bronchodilator	asthma
Asthma (bronchodilator response)	response to bronchodilator|| asthma	GCST001597	response to bronchodilator	asthma
Bronchodilator response in asthma	response to bronchodilator|| asthma	GCST002796	response to bronchodilator	asthma
Post bronchodilator FEV1/FVC ratio in COPD	response to bronchodilator|| chronic obstructive pulmonary disease|| FEV/FEC ratio	GCST003265	response to bronchodilator|| FEV/FEC ratio	chronic obstructive pulmonary disease
Myocardial infarction in hypertension (calcium channel blocker interaction)	hypertension|| response to calcium channel blocker|| myocardial infarction	GCST003206	response to calcium channel blocker|| myocardial infarction	hypertension
Carboplatin disposition in epthelial ovarian cancer	Malignant epithelial tumor of ovary|| response to carboplatin	GCST005351	response to carboplatin	Malignant epithelial tumor of ovary
Response to cholinesterase inhibitors in Alzheimer's disease	response to cholinesterase inhibitor|| Alzheimer's disease	GCST001835	response to cholinesterase inhibitor	Alzheimer's disease
Response to inhaled corticosteroid treatment in asthma (change in FEV1)	FEV change measurement|| response to corticosteroid|| asthma	GCST003567	response to corticosteroid|| FEV change measurement	asthma
Response to inhaled corticosteroid treatment in asthma (change in FEV1)	FEV change measurement|| response to corticosteroid|| asthma	GCST002432	response to corticosteroid|| FEV change measurement	asthma
Response to cyclophosphamide in systemic lupus erythematosus with lupus nephritis	response to cyclophosphamide|| systemic lupus erythematosus|| lupus nephritis	GCST003445	response to cyclophosphamide	systemic lupus erythematosus|| lupus nephritis
Response to Dalcetrapib treatment in acute coronary syndrome	response to dalcetrapib|| acute coronary syndrome|| cardiovascular event measurement	GCST002747	response to dalcetrapib|| cardiovascular event measurement	acute coronary syndrome
Response to dendritic cell-based immunotherapy in HIV infection	response to dendritic cell-based immunotherapy|| HIV infection	GCST003852	response to dendritic cell-based immunotherapy	HIV infection
Myocardial infarction in hypertension (diuretic interaction)	response to diruetic|| hypertension|| myocardial infarction	GCST003202	response to diruetic|| myocardial infarction	hypertension
Cardiovascular disease in hypertension (diuretic interaction)	response to diruetic|| hypertension|| cardiovascular disease	GCST003204	response to diuretic|| cardiovascular disease	hypertension
Response to tocilizumab in rheumatoid arthritis	rheumatoid arthritis|| response to drug	GCST001476	response to drug	rheumatoid arthritis
Duloxetine response in major depressive disorder (% change in symptom score)	unipolar depression|| response to duloxetine	GCST004738	response to duloxetine	unipolar depression
Duloxetine response in major depressive disorder (remitter/non-remitter status)	unipolar depression|| response to duloxetine	GCST004740	response to duloxetine	unipolar depression
Duloxetine response in major depressive disorder (responder/non-responder status)	unipolar depression|| response to duloxetine	GCST004741	response to duloxetine	unipolar depression
Response to efavirenz-containing treatment in HIV 1 infection (virologic failure)	HIV-1 infection|| response to efavirenz|| virologic response measurement	GCST002771	response to efavirenz|| virologic response measurement	HIV-1 infection
Response to gemcitabine in pancreatic cancer	response to gemcitabine|| pancreatic carcinoma	GCST001390	response to gemcitabine	pancreatic carcinoma
Response to gemcitabine in pancreatic cancer	response to gemcitabine|| pancreatic carcinoma	GCST001346	response to gemcitabine	pancreatic carcinoma
Response to haloperidol in psychosis	psychosis|| response to haloperidol	GCST002465	response to haloperidol	psychosis
Response to haloperidol in schizophrenia	schizophrenia|| response to haloperidol	GCST006298	response to haloperidol	schizophrenia
Response to chemotherapy in multiple myeloma (oral mucositis) (high-dose melphalan)	multiple myeloma|| response to high-dose melphalan|| chemotherapy-induced oral mucositis	GCST002605	response to high-dose melphalan|| chemotherapy-induced oral mucositis	multiple myeloma
Response to interferon beta in multiple sclerosis	multiple sclerosis|| response to interferon beta	GCST003193	response to interferon beta	multiple sclerosis
Response to interferon beta in multiple sclerosis	multiple sclerosis|| response to interferon beta	GCST002910	response to interferon beta	multiple sclerosis
Neutralising antibody response to interferon beta therapy in multiple sclerosis (area under the curve for the first two years)	multiple sclerosis|| response to interferon beta|| antibody measurement	GCST005708	response to interferon beta|| antibody measurement	multiple sclerosis
Neutralising antibody response to interferon beta therapy in multiple sclerosis (maximum antibody levels)	multiple sclerosis|| response to interferon beta|| antibody measurement	GCST005709	response to interferon beta|| antibody measurement	multiple sclerosis
Neutralising antibody response to interferon beta therapy in multiple sclerosis (mean antibody levels)	multiple sclerosis|| response to interferon beta|| antibody measurement	GCST005707	response to interferon beta|| antibody measurement	multiple sclerosis
Neutralising antibody response to interferon beta therapy in multiple sclerosis (presence of antibodies)	multiple sclerosis|| response to interferon beta|| antibody measurement	GCST005706	response to interferon beta|| antibody measurement	multiple sclerosis
Neutralising antibody response to interferon beta therapy in multiple sclerosis (time to production)	multiple sclerosis|| response to interferon beta|| antibody measurement	GCST005710	response to interferon beta|| antibody measurement	multiple sclerosis
Response to irinotecan in non-small-cell lung cancer	response to irinotecan|| non-small cell lung carcinoma	GCST001558	response to irinotecan	non-small cell lung carcinoma
Response to ketogenic dietary therapies in epilepsy	response to ketogenic diet|| epilepsy	GCST006567	response to ketogenic diet||	epilepsy
Objective response to lithium treatment in bipolar disorder	bipolar disorder|| response to lithium ion	GCST003161	response to lithium ion	bipolar disorder
Response to lithium treatment in bipolar disorder	bipolar disorder|| response to lithium ion	GCST003378	response to lithium ion	bipolar disorder
Subjective response to lithium treatment in bipolar disorder	bipolar disorder|| response to lithium ion	GCST003160	response to lithium ion	bipolar disorder
Response to mepolizumab in severe asthma	response to mepolizumab|| asthma	GCST005115	response to mepolizumab	asthma
Response to metformin in type 2 diabetes (HbA1c reduction)	A1C measurement|| type II diabetes mellitus|| response to metformin	GCST004522	response to metformin|| A1C measurement	 type II diabetes mellitus
Methotrexate-induced interstitial lung disease in rheumatoid arthritis	response to methotrexate|| rheumatoid arthritis|| interstitial lung disease	GCST004358	response to methotrexate|| interstitial lung disease	rheumatoid arthritis
Response to methylphenidate treatment in attention-deficit/hyperactivity disorder	attention deficit hyperactivity disorder|| response to methylphenidate	GCST005318	response to methylphenidate	attention deficit hyperactivity disorder
Response to olanzapine in schizophrenia	schizophrenia|| response to olanzapine	GCST006293	response to olanzapine	schizophrenia
Pharmacokinetics of olanzapine in severe mental disorder (concentration dose ratio)	unipolar depression|| schizophrenia|| bipolar disorder|| response to olanzapine|| concentration dose ratio	GCST002885	response to olanzapine|| concentration dose ratio	unipolar depression|| schizophrenia|| bipolar disorder
Paclitaxel disposition in epithelial ovarian cancer	Malignant epithelial tumor of ovary|| response to paclitaxel	GCST005352	response to paclitaxel	Malignant epithelial tumor of ovary
Response to paliperidone in schizophrenia (CGI-S score)	schizophrenia|| response to paliperidone|| schizophrenia symptom severity measurement	GCST004039	response to paliperidone|| schizophrenia symptom severity measurement	schizophrenia
Response to paliperidone in schizophrenia (Multivariate)	schizophrenia|| response to paliperidone|| schizophrenia symptom severity measurement	GCST004043	response to paliperidone|| schizophrenia symptom severity measurement	schizophrenia
Response to paliperidone in schizophrenia (negative Marder score)	schizophrenia|| response to paliperidone|| schizophrenia symptom severity measurement	GCST004041	response to paliperidone|| schizophrenia symptom severity measurement	schizophrenia
Response to paliperidone in schizophrenia (PANSS score)	schizophrenia|| response to paliperidone|| schizophrenia symptom severity measurement	GCST004042	response to paliperidone|| schizophrenia symptom severity measurement	schizophrenia
Response to paliperidone in schizophrenia (positive Marder score)	schizophrenia|| response to paliperidone|| schizophrenia symptom severity measurement	GCST004040	response to paliperidone|| schizophrenia symptom severity measurement	schizophrenia
Response to Pazopanib in cancer (hepatotoxicity)	cancer|| response to pazopanib|| serum alanine aminotransferase measurement	GCST003232	response to pazopanib|| serum alanine aminotransferase measurement	cancer
Response to perphenazine in schizophrenia	schizophrenia|| response to perphenazine	GCST006297	response to perphenazine	schizophrenia
Placebo response in major depressive disorder (% change in symptom score)	unipolar depression|| response to placebo	GCST004739	response to placebo	unipolar depression
Placebo response in major depressive disorder (remitter/non-remitter status)	unipolar depression|| response to placebo	GCST004742	response to placebo	unipolar depression
Placebo response in major depressive disorder (responder/non-responder status)	unipolar depression|| response to placebo	GCST004743	response to placebo	unipolar depression
Response to platinum-based chemotherapy in non-small-cell lung cancer	response to platinum based chemotherapy|| non-small cell lung carcinoma	GCST001629	response to platinum based chemotherapy	non-small cell lung carcinoma
Response to platinum-based chemotherapy in non-small-cell lung cancer	response to platinum based chemotherapy|| non-small cell lung carcinoma	GCST001035	response to platinum based chemotherapy	non-small cell lung carcinoma
Response to carboplatin and paclitaxel in ovarian cancer (Caspase 3/7 EC50)	response to platinum based chemotherapy|| ovarian carcinoma|| cytotoxicity measurement|| response to paclitaxel	GCST003443	response to platinum based chemotherapy||  cytotoxicity measurement|| response to paclitaxel	ovarian carcinoma
Response to carboplatin and paclitaxel in ovarian cancer (MTT IC50)	response to platinum based chemotherapy|| ovarian carcinoma|| cytotoxicity measurement|| response to paclitaxel	GCST003444	response to platinum based chemotherapy||  cytotoxicity measurement|| response to paclitaxel	ovarian carcinoma
Response to carboplatin in ovarian cancer (Caspase 3/7 EC50)	response to platinum based chemotherapy|| ovarian carcinoma|| cytotoxicity measurement	GCST003442	response to platinum based chemotherapy|| cytotoxicity measurement	ovarian carcinoma
Response to carboplatin in ovarian cancer (MTT IC50)	response to platinum based chemotherapy|| ovarian carcinoma|| cytotoxicity measurement	GCST003440	response to platinum based chemotherapy|| cytotoxicity measurement	ovarian carcinoma
Response to paclitaxel in ovarian cancer (Caspase 3/7 EC50)	response to platinum based chemotherapy|| ovarian carcinoma|| cytotoxicity measurement	GCST003439	response to platinum based chemotherapy|| cytotoxicity measurement	ovarian carcinoma
Platinum-induced hepatotoxicity in non-small cell lung cancer	response to platinum based chemotherapy|| non-small cell lung carcinoma|| drug-induced liver injury	GCST002993	response to platinum based chemotherapy|| drug-induced liver injury	non-small cell lung carcinoma
Response to platinum-based neoadjuvant chemotherapy in cervical cancer	cervical carcinoma|| response to platinum-based neoadjuvant chemotherapy	GCST004097	response to platinum-based neoadjuvant chemotherapy	cervical carcinoma
Response to quetiapine in schizophrenia	schizophrenia|| response to quetiapine	GCST006295	response to quetiapine	schizophrenia
Response to radiotherapy in prostate cancer (overall toxicity)	response to radiation|| prostate carcinoma	GCST003583	response to radiation	prostate carcinoma
"Response to radiotherapy in prostate cancer (toxicity, decreased urine stream)"	response to radiation|| prostate carcinoma	GCST003581	response to radiation	prostate carcinoma
"Response to radiotherapy in prostate cancer (toxicity, rectal bleeding)"	response to radiation|| prostate carcinoma	GCST003584	response to radiation	prostate carcinoma
"Response to radiotherapy in prostate cancer (toxicity, urinary frequency)"	response to radiation|| prostate carcinoma	GCST003582	response to radiation	prostate carcinoma
Response to radiotherapy in prostate cancer (toxicity)	response to radiation|| prostate carcinoma	GCST002511	response to radiation	prostate carcinoma
Breast cancer in childhood cancer survivors treated with more than 10 gray radiotherapy	response to radiation|| breast carcinoma|| childhood cancer	GCST005112	response to radiation|| breast carcinoma	childhood cancer
Obesity in adult survivors of childhood cancer exposed to cranial radiation	response to radiation|| childhood cancer|| obesity	GCST002900	response to radiation|| obesity	childhood cancer
Response to ranibizumab in age-related macular degeneration (exudative)	response to ranibizumab|| wet macular degeneration	GCST006277	response to ranibizumab	wet macular degeneration
Response to ranibizumab in age-related macular degeneration (dry maculae)	response to ranibizumab|| age-related macular degeneration|| macula measurement	GCST004802	response to ranibizumab|| macula measurement	age-related macular degeneration
Response to ranibizumab in age-related macular degeneration (additional treatment requirement)	response to ranibizumab|| age-related macular degeneration|| treatment outcome measurement	GCST004803	response to ranibizumab|| treatment outcome measurement	age-related macular degeneration
Response to rate control therapy in atrial fibrillation	response to rate control therapy|| atrial fibrillation	GCST002473	response to rate control therapy	atrial fibrillation
Nevirapine-induced hypersensitivity in HIV (hypersensitivity syndrome)	response to reverse transcriptase inhibitor|| drug hypersensitivity syndrome|| HIV infection	GCST004116	response to reverse transcriptase inhibitor|| drug hypersensitivity syndrome	HIV infection
Nevirapine-induced hypersensitivity in HIV (drug-induced liver injury)	response to reverse transcriptase inhibitor|| HIV infection|| drug-induced liver injury	GCST004114	response to reverse transcriptase inhibitor|| drug-induced liver injury	HIV infection
Nevirapine-induced hypersensitivity in HIV	response to reverse transcriptase inhibitor|| hypersensitivity reaction disease|| HIV infection	GCST004118	response to reverse transcriptase inhibitor|| hypersensitivity reaction disease	HIV infection
Nevirapine-induced hypersensitivity in HIV (rash)	response to reverse transcriptase inhibitor|| maculopapular eruption|| HIV infection	GCST004117	response to reverse transcriptase inhibitor|| maculopapular eruption	HIV infection
Nevirapine-induced hypersensitivity in HIV (Stevens-Johnson syndrome or toxic epidermal necrosis)	response to reverse transcriptase inhibitor|| Stevens-Johnson syndrome|| toxic epidermal necrolysis|| HIV infection	GCST004115	response to reverse transcriptase inhibitor|| Stevens-Johnson syndrome|| toxic epidermal necrolysis	HIV infection
Response to risperidone in schizophrenia	schizophrenia|| response to risperidone	GCST006294	response to risperidone	schizophrenia
Remission after SSRI treatment in major depression	unipolar depression|| response to selective serotonin reuptake inhibitor	GCST006266	response to selective serotonin reuptake inhibitor	unipolar depression
Response to selective serotonin reuptake inhibitors in depression	unipolar depression|| response to selective serotonin reuptake inhibitor	GCST006267	response to selective serotonin reuptake inhibitor	unipolar depression
Response to serotonin reuptake inhibitors in major depressive disorder	unipolar depression|| response to selective serotonin reuptake inhibitor	GCST002868	response to selective serotonin reuptake inhibitor	unipolar depression
Response to serotonin reuptake inhibitors in non-psychotic unipolar depression	unipolar depression|| response to selective serotonin reuptake inhibitor	GCST003118	response to selective serotonin reuptake inhibitor	unipolar depression
Response to stavudine in HIV (lipoatrophy)	HIV-1 infection|| response to stavudine|| Lipoatrophy	GCST002968	response to stavudine|| Lipoatrophy	HIV-1 infection
Response to tamoxifen in oestrogen receptor positive/HER2 negative breast cancer	response to tamoxifen|| HER2 status|| estrogen-receptor positive breast cancer	GCST006615	response to tamoxifen	HER2 status|| estrogen-receptor positive breast cancer
Tenofovir clearance in HIV infection	response to tenofovir|| HIV infection	GCST006073	response to tenofovir	HIV infection
Tenofovir clearance in HIV infection (concomitant antiretroviral treatment interaction)	response to tenofovir|| HIV infection	GCST006071	response to tenofovir	HIV infection
6-month creatinine clearance change response to tenofovir treatment in HIV infection (concomitant antiretroviral treatment interaction)	response to tenofovir|| HIV infection|| creatinine clearance measurement	GCST006070	response to tenofovir|| creatinine clearance measurement	HIV infection
6-month creatinine clearance change response to tenofovir treatment in HIV infection (treatment arm interaction)	response to tenofovir|| HIV infection|| creatinine clearance measurement	GCST006072	response to tenofovir|| creatinine clearance measurement	HIV infection
Time-dependent creatinine clearance change response to tenofovir treatment in HIV infection (time and treatment arm interaction)	response to tenofovir|| HIV infection|| creatinine clearance measurement	GCST006069	response to tenofovir|| creatinine clearance measurement	HIV infection
Thiopurine-induced liver dysfunction in inflammatory bowel disease	response to thiopurine|| inflammatory bowel disease|| liver disease	GCST006212	response to thiopurine|| liver disease	inflammatory bowel disease
Thiopurine-induced infection in inflammatory bowel disease	response to thiopurine|| inflammatory bowel disease|| susceptibility to infectious disease measurement	GCST006211	response to thiopurine|| susceptibility to infectious disease measurement	inflammatory bowel disease
Response to thiopurine immunosuppressants in inflammatory bowel disease (pancreatitis) (azathioprine and mercaptopurine)	response to thiopurine|| thiopurine immunosuppressant-induced pancreatitis|| inflammatory bowel disease	GCST002607	response to thiopurine|| thiopurine immunosuppressant-induced pancreatitis	inflammatory bowel disease
Response to anti-TNF therapy in rheumatoid arthritis	rheumatoid arthritis|| response to TNF antagonist	GCST003329	response to TNF antagonist	rheumatoid arthritis
Response to anti-TNF therapy in rheumatoid arthritis	rheumatoid arthritis|| response to TNF antagonist	GCST001927	response to TNF antagonist	rheumatoid arthritis
"Response to anti-TNF treatment (adalimumab, etanercept or infliximab) in rheumatoid arthritis"	rheumatoid arthritis|| response to TNF antagonist	GCST002869	response to TNF antagonist	rheumatoid arthritis
Response to TNF-alpha inhibitors in rheumatoid arthritis	rheumatoid arthritis|| response to TNF antagonist	GCST001772	response to TNF antagonist	rheumatoid arthritis
